Name,Coin Symbol(ticker),Market Cap(In Millions),Current Price,Percentage Change on ATH,No. of Exchanges
"=HYPERLINK(""https://www.coingecko.com/en/coins/radicle"",""Radicle"")",rad,79.54,19.04,10.02,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/hybrix"",""Hybrix"")",hy,10.65,4.56,10.06,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/bountymarketcap"",""BountyMarketCap"")",bmc,10.11,0.1,10.33,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/stasis-euro"",""STASIS EURO"")",eurs,38.72,1.21,10.37,5
"=HYPERLINK(""https://www.coingecko.com/en/coins/deus-finance"",""DEUS Finance"")",deus,23.07,9.74,10.4,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mcdex"",""MCDEX"")",mcb,65.13,31.31,10.41,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/power-index-pool-token"",""Power Index Pool Token"")",pipt,7.54,4.56,10.41,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/likecoin"",""LikeCoin"")",like,13.19,0.01,10.43,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/coin"",""Coin"")",coin,29.46,0.36,10.76,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/helmet-insure"",""Helmet Insure"")",helmet,79.78,2.55,10.84,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/euler-tools"",""Euler Tools"")",euler,11.23,0.16,10.92,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/ferrum-network"",""Ferrum Network"")",frm,99.8,0.86,10.93,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-united-states-oil-fund"",""Mirrored United States Oil Fund"")",muso,28.28,41.8,11.03,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/origin-dollar"",""Origin Dollar"")",ousd,7.5,1.0,11.04,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/interest-bearing-dpi"",""Interest Bearing DPI"")",bdpi,60.14,465.32,11.12,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/nft-platform-index"",""NFT Platform Index"")",NFTP,1.58,26.77,11.21,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-twitter"",""Mirrored Twitter"")",mtwtr,32.05,71.82,11.39,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/virgox-token"",""VirgoX Token"")",vxt,4.29,0.1,11.56,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/hermez-network"",""Hermez Network"")",hez,48.79,6.53,11.76,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/phantasma"",""Phantasma"")",soul,76.2,0.77,11.88,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/mu-dank"",""MU DANK"")",dank,4.83,0.29,11.91,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/smartlands-network"",""Smartlands Network"")",slt,85.83,16.86,12.14,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/uniwhales"",""UniWhales"")",uwl,5.4,0.85,12.3,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/dracula-token"",""Dracula Token"")",drc,17.26,1.21,12.32,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/utopia-genesis-foundation"",""Utopia Genesis Foundation"")",uop,4.64,0.45,12.33,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/piedao-defi++"",""PieDAO DEFI++"")",defi++,2.69,5.55,12.6,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/slink"",""sLINK"")",slink,42.0,33.7,12.81,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/seur"",""sEUR"")",seur,23.12,1.21,12.95,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/bscstarter"",""BSCstarter"")",start,5.71,44.84,13.07,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/katalyo"",""Katalyo"")",ktlyo,11.89,0.91,13.29,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/the-bitcoin-family"",""The Bitcoin Family"")",family,2.08,0.47,13.87,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/exnetwork-token"",""ExNetwork Token"")",exnt,36.6,0.58,14.03,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/unidex"",""UniDex"")",unidx,6.11,1.71,14.07,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/dfohub"",""dfohub"")",buidl,84.79,26.65,14.12,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/qiibee"",""qiibee"")",qbx,6.58,0.02,14.18,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/axel"",""AXEL"")",axel,28.69,0.3,14.2,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/ideaology"",""Ideaology"")",idea,12.76,0.64,14.41,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/wault-finance"",""Wault Finance"")",wault,62.57,82.08,14.43,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/tera"",""TERA"")",tera,15.74,0.02,14.6,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/aspire"",""Aspire"")",asp,11.55,0.1,15.39,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/mstable-usd"",""mStable USD"")",musd,40.95,1.02,15.7,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/popsicle-finance"",""Popsicle Finance"")",ice,38.81,8.05,15.97,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/xaya"",""XAYA"")",chi,16.34,0.3,16.03,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/plasma-finance"",""Plasma Finance"")",ppay,54.52,0.36,16.12,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/sureremit"",""SureRemit"")",rmt,14.46,0.02,16.35,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/cache-gold"",""CACHE Gold"")",cgt,2.39,55.76,16.44,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-amazon"",""Mirrored Amazon"")",mamzn,33.44,3443.52,16.45,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/piedao-defi-small-cap"",""PieDAO DEFI Small Cap"")",DEFI+S,2.33,6.19,16.58,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/sentivate"",""Sentivate"")",sntvt,59.17,0.02,16.62,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/moontools"",""MoonTools"")",moons,6.19,181.35,16.67,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/yearn-ecosystem-token-index"",""Yearn Ecosystem Token Index"")",yeti,3.3,1.99,16.74,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-invesco-qqq-trust"",""Mirrored Invesco QQQ Trust"")",mqqq,31.92,343.26,16.8,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-microsoft"",""Mirrored Microsoft"")",mmsft,31.41,260.13,16.89,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/hydradx"",""HydraDX"")",xhdx,50.52,0.12,16.89,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/piedao-yearn-ecosystem-pie"",""PieDAO Yearn Ecosystem Pie"")",ypie,1.26,3.28,17.17,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mstable-btc"",""mStable BTC"")",mbtc,13.44,53794.0,17.32,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/meter-governance"",""Meter Governance"")",mtrg,20.64,7.21,17.32,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/fera"",""Fera"")",fera,5.68,0.03,18.03,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/unilayer"",""UniLayer"")",layer,61.35,3.06,18.18,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/piedao-balanced-crypto-pie"",""PieDAO Balanced Crypto Pie"")",bcp,4.13,3.69,18.18,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/goatcoin"",""Goatcoin"")",goat,2.42,3851.81,18.29,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/polyswarm"",""PolySwarm"")",nct,23.89,0.02,18.33,4
"=HYPERLINK(""https://www.coingecko.com/en/coins/morpheus-labs"",""Morpheus Labs"")",mitx,70.24,0.16,18.4,5
"=HYPERLINK(""https://www.coingecko.com/en/coins/defidollar"",""DefiDollar"")",dusd,14.03,1.01,18.55,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/dust-token"",""DUST Token"")",dust,13.73,0.06,18.62,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/jur"",""Jur"")",jur,3.31,0.02,18.63,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/unit-protocol-new"",""Unit Protocol New"")",duck,77.24,0.37,18.9,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/open-governance-token"",""OPEN Governance Token"")",open,20.98,2.65,18.96,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/plair"",""Plair"")",pla,12.12,0.0,19.03,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/lyra"",""Lyra"")",lyr,8.04,0.0,19.25,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/curate"",""Curate"")",xcur,45.48,8.49,19.3,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-netflix"",""Mirrored Netflix"")",mnflx,32.65,558.82,19.31,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/wowswap"",""WOWswap"")",wow,14.67,56.44,19.37,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/bitberry-token"",""Bitberry Token"")",bbr,28.09,12.14,19.44,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/dea"",""DEA"")",dea,42.54,413.99,19.75,1
